0	0
1.5	0.0040
1.6	0.0040
1.7	0.0040
1.8	0.0040
1.9	0.0040
2.0	0.0040
2.1	0.0040
2.2	0.0040
2.3	0.0040
2.4	0.0040
2.5	0.0040
2.6	0.0040
2.7	0.0040
2.8	0.0040
2.9	0.0040
3.0	0.0040
3.1	0.0040
3.2	0.0040
3.3	0.0040
3.4	0.0040
3.5	0.0040
3.6	0.0040
3.7	0.0040
3.8	0.0040
3.9	0.0040
4.0	0.0040
4.1	0.0040
4.2	0.0040
4.3	0.0040
4.4	0.0040
4.5	0.0040
4.6	0.0040
4.7	0.0040
4.8	0.0040
4.9	0.0040
5.0	0.0040
5.1	0.0040
5.2	0.0040
5.3	0.0040
5.4	0.0040
5.5	0.0040
5.6	0.0040
5.7	0.0040
5.8	0.0040
5.9	0.0040
6.0	0.0040
6.1	0.0040
6.2	0.0040
6.3	0.0040
6.4	0.0040
6.5	0.0040
6.6	0.0040
6.7	0.0040
6.8	0.0040
6.9	0.0040
7.0	0.0040
7.1	0.0040
7.2	0.0040
7.3	0.0040
7.4	0.0061
7.5	0.0082
7.6	0.0082
7.7	0.0083
7.8	0.0085
7.9	0.0086
8.0	0.0087
8.1	0.0089
8.2	0.0090
8.3	0.0091
8.4	0.0092
8.5	0.0094
8.6	0.0095
8.7	0.0096
8.8	0.0099
8.9	0.0098
9.0	0.0100
9.1	0.0101
9.2	0.0100
9.3	0.0139
9.4	0.0240
9.5	0.0289
9.6	0.0410
9.7	0.0610
9.8	0.3427
9.9	0.0640
10.0	0.0150
10.1	0.0001
10.2	0.0001
10.3	0.0001
10.4	0.0001
10.5	0.0001

